POSTCODE,STEMERG,STEMERGEND,STAYHOME,END_STHM,FM_ALL,FM_END,QR_ALLST,QR_END,PUBDATE,STEMERG_days,STEMERGEND_days,STAYHOME_days,END_STHM_days,FM_ALL_days,FM_END_days,QR_ALLST_days,QR_END_days,PUBDATE_days
State Abbreviation,,,,,,,,,,,,,,,,,,
SC,2020-03-13,2021-06-07,2020-04-07,2020-05-04,,2021-05-11,,2020-05-04,2021-03-31,72.0,523.0,97.0,124.0,,496.0,,124.0,455.0
SD,2020-03-13,,,,,,,,2021-04-05,72.0,,,,,,,,460.0
TN,2020-03-12,,2020-04-02,2020-04-29,,,,,2021-04-05,71.0,,92.0,119.0,,,,,460.0
TX,2020-03-13,,,2020-05-01,2020-07-03,2021-03-10,,2020-05-21,2021-03-29,72.0,,,121.0,184.0,434.0,,141.0,453.0
UT,2020-03-06,,,,2020-04-10,2020-05-01,2020-04-10,2020-05-01,2021-03-24,65.0,,,,100.0,121.0,100.0,121.0,448.0
VT,2020-03-13,,2020-03-24,2020-05-15,2020-08-01,,2020-03-30,2021-05-14,2021-04-19,72.0,,83.0,135.0,213.0,,89.0,499.0,474.0
VA,2020-03-12,,2020-03-30,2020-05-29,2020-05-29,2021-05-15,,,2021-04-18,71.0,,89.0,149.0,149.0,500.0,,,473.0
WA,2020-02-29,,2020-03-23,2020-06-01,2020-06-26,,,,2021-04-15,59.0,,82.0,152.0,177.0,,,,470.0
WV,2020-03-16,,2020-03-24,2020-05-05,2020-07-07,,,2020-05-21,2021-03-22,75.0,,83.0,125.0,188.0,,,141.0,446.0
WI,2020-03-12,,2020-03-25,2020-05-13,2020-08-01,2021-03-31,,,2021-04-05,71.0,,84.0,133.0,213.0,455.0,,,460.0
WY,2020-03-13,,,,2020-12-09,2021-03-16,2020-04-03,2020-05-08,2021-03-31,72.0,,,,343.0,440.0,93.0,128.0,455.0
