,Province_State,Population,Total Deaths
94,Alaska,8493,47
95,Alaska,1183,1
96,Alaska,6893,216
98,Alaska,9202,0
99,Alaska,2502,3
100,Alaska,579,15
101,Alaska,5230,85
102,American Samoa,55641,444
103,Arizona,71887,96567
104,Arizona,125922,81323
105,Arizona,143476,71428
106,Arizona,54018,43882
107,Arizona,38837,14131
108,Arizona,9498,699
109,Arizona,21108,9543
110,Arizona,4485414,5255308
111,Arizona,212181,335738
112,Arizona,110924,163534
114,Arizona,1047279,948751
115,Arizona,462789,334918
116,Arizona,46498,20231
118,Arizona,235099,219054
119,Arizona,213787,232861
120,Arkansas,17486,4055
121,Arkansas,19657,3158
122,Arkansas,41932,29022
123,Arkansas,279141,248740
124,Arkansas,37432,15276
125,Arkansas,10763,1460
126,Arkansas,5189,105
127,Arkansas,28380,6655
128,Arkansas,10118,2013
129,Arkansas,22320,3939
130,Arkansas,14551,4512
131,Arkansas,24919,8994
132,Arkansas,7956,866
133,Arkansas,23457,4802
134,Arkansas,20846,3296
135,Arkansas,110332,53666
136,Arkansas,63257,32321
137,Arkansas,47955,19911
138,Arkansas,16419,4922
139,Arkansas,7009,825
140,Arkansas,11361,861
141,Arkansas,18219,3282
142,Arkansas,126007,46721
143,Arkansas,17715,3086
144,Arkansas,12477,4115
145,Arkansas,99386,104438
146,Arkansas,18265,1995
147,Arkansas,45325,16606
148,Arkansas,21532,2619
149,Arkansas,33771,11622
150,Arkansas,13202,1787
151,Arkansas,37825,22604
152,Arkansas,13629,2922
153,Arkansas,16719,2707
154,Arkansas,66824,38607
155,Arkansas,26578,4965
156,Arkansas,6624,301
157,Arkansas,16406,3949
158,Arkansas,8857,2121
159,Arkansas,13024,2193
160,Arkansas,12259,3501
161,Arkansas,21466,3680
162,Arkansas,73309,28504
163,Arkansas,16576,2330
164,Arkansas,16694,3737
165,Arkansas,43257,9569
166,Arkansas,40651,21556
167,Arkansas,6701,737
168,Arkansas,8986,2071
169,Arkansas,8252,949
170,Arkansas,7753,1342
171,Arkansas,23382,6762
173,Arkansas,10455,946
174,Arkansas,17782,4784
175,Arkansas,10718,1194
176,Arkansas,23528,8358
177,Arkansas,19964,10152
178,Arkansas,64072,22007
179,Arkansas,8062,911
180,Arkansas,391911,381957
181,Arkansas,17958,5016
182,Arkansas,122437,57201
183,Arkansas,10281,1189
184,Arkansas,7881,1343
185,Arkansas,127827,106651
186,Arkansas,17007,2688
187,Arkansas,17442,6785
188,Arkansas,24994,5393
189,Arkansas,12506,3084
191,Arkansas,38682,17178
192,Arkansas,16545,2104
193,Arkansas,239187,146579
194,Arkansas,78753,40648
195,Arkansas,6320,539
196,Arkansas,21341,6231
197,California,1671329,505313
198,California,1129,0
199,California,39752,3622
200,California,219186,56009
201,California,45905,6067
202,California,21547,252
203,California,1153526,264804
204,California,27812,1224
205,California,192843,17072
206,California,999101,683436
207,California,28393,901
208,California,135558,9011
209,California,181215,145878
210,California,18039,1564
211,California,900202,527528
212,California,152940,61959
213,California,64386,7932
214,California,30573,2071
215,California,10039107,19043263
216,California,157327,21350
217,California,258826,25214
218,California,17203,660
219,California,86749,6426
220,California,277680,151438
221,California,8841,64
222,California,14444,36
223,California,434061,114855
224,California,137744,9438
225,California,99755,4676
226,California,3175692,2396630
228,California,398329,81095
229,California,18807,96
230,California,2470546,1866055
231,California,1552058,794840
232,California,62808,5141
233,California,2180085,2246238
234,California,3338330,1593516
235,California,881549,169178
236,California,762148,519795
237,California,283111,71481
238,California,766573,94029
239,California,446499,132881
240,California,1927852,649135
241,California,273213,21172
242,California,180080,106240
243,California,3005,10
244,California,43539,3534
245,California,447643,59363
246,California,494336,65561
247,California,550660,534781
248,California,96971,18015
249,California,65084,11416
250,California,12285,231
251,California,466195,295933
252,California,54478,5545
254,California,846006,306532
255,California,220500,34941
256,California,78668,5858
257,Colorado,517421,449307
258,Colorado,16233,2270
259,Colorado,656590,419740
260,Colorado,14029,300
261,Colorado,3581,153
262,Colorado,5577,1144
263,Colorado,326196,66904
264,Colorado,70465,7446
265,Colorado,20356,1417
266,Colorado,1831,78
267,Colorado,9700,91
268,Colorado,8205,1647
269,Colorado,3887,190
270,Colorado,6061,493
271,Colorado,5068,276
272,Colorado,31162,10039
273,Colorado,727211,500441
274,Colorado,2055,43
275,Colorado,351154,84676
276,Colorado,55127,752
277,Colorado,720403,631255
278,Colorado,26729,1122
279,Colorado,47839,17178
280,Colorado,60061,4656
281,Colorado,6243,28
282,Colorado,15734,429
283,Colorado,17462,124
284,Colorado,820,0
285,Colorado,6897,793
286,Colorado,1392,1
287,Colorado,582881,496355
288,Colorado,1406,21
289,Colorado,7097,554
290,Colorado,56221,4393
291,Colorado,8127,3
292,Colorado,356899,108813
293,Colorado,14506,1264
294,Colorado,5701,66
295,Colorado,22409,5670
296,Colorado,154210,119980
297,Colorado,769,10
298,Colorado,13283,1506
299,Colorado,26183,3782
300,Colorado,42758,12844
301,Colorado,29068,9028
302,Colorado,18278,7327
303,Colorado,4952,21
305,Colorado,18845,325
306,Colorado,4265,174
307,Colorado,17767,44
308,Colorado,12172,1290
309,Colorado,168424,183622
310,Colorado,6324,120
311,Colorado,11267,978
312,Colorado,25638,523
313,Colorado,6824,78
314,Colorado,728,0
315,Colorado,8179,36
316,Colorado,2248,91
317,Colorado,31011,120
318,Colorado,25388,2011
320,Colorado,4908,630
321,Colorado,324492,159180
322,Colorado,10019,343
323,Connecticut,943332,876233
324,Connecticut,891720,1000038
325,Connecticut,180333,63360
326,Connecticut,162436,75125
327,Connecticut,854757,880021
328,Connecticut,265206,119578
330,Connecticut,150721,30343
332,Connecticut,116782,33272
333,Delaware,180786,100056
334,Delaware,558753,330301
336,Delaware,234225,162924
339,District of Columbia,705749,378478
342,Florida,269043,40992
343,Florida,29210,3835
344,Florida,174705,57527
345,Florida,28201,3789
346,Florida,601942,194683
347,Florida,1952778,787372
348,Florida,14105,2391
349,Florida,188910,68773
350,Florida,149657,70312
351,Florida,219252,46759
352,Florida,384902,99248
353,Florida,71686,20066
354,Florida,38001,7246
355,Florida,16826,1175
356,Florida,957755,320426
357,Florida,318316,118294
358,Florida,115081,14124
359,Florida,12125,705
360,Florida,45660,9568
361,Florida,18582,2449
362,Florida,13811,335
363,Florida,13639,2411
364,Florida,14428,864
365,Florida,26937,3108
366,Florida,42022,5537
367,Florida,193920,79855
368,Florida,106221,54702
369,Florida,1471968,420518
370,Florida,19617,2905
371,Florida,159923,43389
372,Florida,46414,14314
373,Florida,14246,1063
374,Florida,8422,954
375,Florida,367118,119172
376,Florida,770577,220729
377,Florida,293582,51627
378,Florida,41503,5166
379,Florida,8354,287
380,Florida,18493,1966
381,Florida,403253,133576
382,Florida,365579,195410
383,Florida,161000,45167
384,Florida,2716940,1743794
385,Florida,74228,3252
386,Florida,88625,14050
387,Florida,210738,45631
388,Florida,42168,5345
389,Florida,1393452,276973
390,Florida,375751,86816
392,Florida,1496770,712069
393,Florida,553947,146406
394,Florida,974996,405562
395,Florida,724777,303984
396,Florida,74521,19705
397,Florida,184313,35253
398,Florida,433742,142940
399,Florida,471826,92270
400,Florida,264672,34339
401,Florida,328297,116291
402,Florida,132420,34564
403,Florida,44417,13295
404,Florida,21569,2619
406,Florida,15237,3338
407,Florida,553284,174524
408,Florida,33739,3737
409,Florida,74071,7683
410,Florida,25473,3300
411,Georgia,18386,7668
412,Georgia,8165,1615
413,Georgia,11164,3124
414,Georgia,3038,120
415,Georgia,44890,25664
416,Georgia,19234,4318
417,Georgia,83240,29691
418,Georgia,107738,61558
419,Georgia,16700,6133
420,Georgia,19397,4219
421,Georgia,153159,159806
422,Georgia,12873,4993
423,Georgia,19109,5340
424,Georgia,15457,4639
425,Georgia,39627,5206
426,Georgia,79608,28503
427,Georgia,22383,6636
428,Georgia,24936,12913
429,Georgia,6189,325
430,Georgia,54666,7025
431,Georgia,10803,5160
432,Georgia,119992,72085
433,Georgia,67580,14164
434,Georgia,13392,1833
435,Georgia,289430,189675
436,Georgia,10907,270
437,Georgia,24789,8613
438,Georgia,258773,114744
439,Georgia,128331,25053
440,Georgia,2834,28
441,Georgia,292256,219322
442,Georgia,6618,1042
443,Georgia,760141,507009
444,Georgia,43273,30455
445,Georgia,45600,25604
446,Georgia,156714,54663
447,Georgia,17270,3286
448,Georgia,148509,73754
449,Georgia,12404,1682
450,Georgia,22372,9199
451,Georgia,16116,848
452,Georgia,26108,4912
453,Georgia,759297,483035
454,Georgia,26404,8882
455,Georgia,20605,11744
456,Georgia,13390,2650
457,Georgia,87956,84799
458,Georgia,146343,62188
459,Georgia,10190,1694
460,Georgia,4006,78
461,Georgia,64296,15530
462,Georgia,19194,6216
463,Georgia,22646,10930
464,Georgia,10654,2296
465,Georgia,26188,12931
466,Georgia,114421,46119
467,Georgia,98498,79150
468,Georgia,244252,58372
469,Georgia,23349,5809
470,Georgia,1063937,701305
471,Georgia,31369,14229
472,Georgia,2971,484
473,Georgia,85292,50869
474,Georgia,57963,27849
475,Georgia,24633,5081
476,Georgia,18324,3656
477,Georgia,936250,522648
478,Georgia,45328,30156
479,Georgia,204441,175856
480,Georgia,8457,3862
481,Georgia,29792,13031
482,Georgia,35236,6572
483,Georgia,26205,5267
484,Georgia,11923,1775
485,Georgia,234561,123028
486,Georgia,157863,81103
487,Georgia,9416,1417
488,Georgia,72977,33554
489,Georgia,14219,2696
490,Georgia,15115,2556
491,Georgia,15362,6055
492,Georgia,8676,2255
493,Georgia,9643,3080
494,Georgia,28735,5887
495,Georgia,19077,6674
496,Georgia,10423,488
497,Georgia,47546,36593
498,Georgia,29992,5385
499,Georgia,61435,10970
500,Georgia,7921,730
501,Georgia,19559,615
502,Georgia,117406,52164
503,Georgia,33610,8261
504,Georgia,12947,1437
505,Georgia,29880,6287
506,Georgia,8359,1502
507,Georgia,21312,5636
508,Georgia,14378,649
509,Georgia,21167,10212
510,Georgia,5718,528
511,Georgia,21863,6498
512,Georgia,27578,13723
513,Georgia,9172,1430
514,Georgia,19276,2468
515,Georgia,40096,16099
516,Georgia,195769,175155
517,Georgia,111744,72245
518,Georgia,40280,5866
519,Georgia,15259,1990
521,Georgia,168667,64397
522,Georgia,27546,8538
523,Georgia,32591,12996
524,Georgia,19465,8048
525,Georgia,18962,4749
526,Georgia,42613,16602
527,Georgia,11137,3168
528,Georgia,22119,5607
529,Georgia,2299,15
530,Georgia,17137,4903
531,Georgia,6778,1150
532,Georgia,202518,193896
533,Georgia,90896,40962
534,Georgia,5257,66
535,Georgia,13966,2565
536,Georgia,8090,717
537,Georgia,66703,58315
538,Georgia,25925,13278
539,Georgia,6621,622
540,Georgia,29524,14757
541,Georgia,6195,610
542,Georgia,1537,10
543,Georgia,25286,8651
544,Georgia,8020,1414
545,Georgia,15860,3689
546,Georgia,8531,2343
547,Georgia,44451,18777
548,Georgia,40644,20661
549,Georgia,26830,17781
550,Georgia,12037,6638
551,Georgia,6901,2246
552,Georgia,69922,58411
553,Georgia,7985,2043
554,Georgia,8120,2322
556,Georgia,24511,13223
557,Georgia,26320,24786
558,Georgia,69761,25628
559,Georgia,94593,61207
560,Georgia,35734,30129
561,Georgia,5254,655
562,Georgia,20374,8195
563,Georgia,29927,15782
564,Georgia,2607,50
565,Georgia,7855,688
566,Georgia,30798,12445
567,Georgia,104628,67521
568,Georgia,8635,2554
569,Georgia,9777,1411
570,Georgia,8954,2146
571,Georgia,20247,7138
573,Guam,164229,48522
574,Hawaii,201513,16536
575,Hawaii,974563,194773
576,Hawaii,86,0
577,Hawaii,72293,989
578,Hawaii,167417,10783
581,Idaho,481587,219670
582,Idaho,4294,106
583,Idaho,87808,24805
584,Idaho,6125,177
585,Idaho,9298,934
586,Idaho,46811,11461
587,Idaho,23021,538
588,Idaho,7831,105
589,Idaho,45739,12030
590,Idaho,119062,29354
591,Idaho,12245,1934
592,Idaho,2597,70
593,Idaho,1106,3
594,Idaho,229849,115744
595,Idaho,7155,558
596,Idaho,24030,1600
597,Idaho,845,1
598,Idaho,8756,659
599,Idaho,4315,45
600,Idaho,27511,2269
601,Idaho,13876,440
602,Idaho,13099,465
603,Idaho,18112,3221
604,Idaho,15179,1528
605,Idaho,16667,1538
606,Idaho,29871,2083
607,Idaho,24412,2078
608,Idaho,165697,81444
609,Idaho,40108,1496
610,Idaho,8027,344
611,Idaho,3838,501
612,Idaho,5366,120
613,Idaho,39907,1457
614,Idaho,21039,2159
615,Idaho,40408,9224
616,Idaho,4531,71
618,Idaho,11823,1473
619,Idaho,23951,3543
620,Idaho,7681,210
621,Idaho,12882,2650
622,Idaho,12142,45
623,Idaho,86878,30439
625,Idaho,11392,171
626,Idaho,10194,1556
627,Illinois,65435,20197
628,Illinois,5761,133
629,Illinois,16426,482
630,Illinois,53544,6543
631,Illinois,6578,149
632,Illinois,32628,7531
633,Illinois,4739,21
634,Illinois,14305,1523
635,Illinois,12147,688
636,Illinois,209689,33080
637,Illinois,32304,5991
638,Illinois,15441,1402
639,Illinois,13184,2555
640,Illinois,37562,5124
641,Illinois,50621,14189
642,Illinois,5150233,7870440
643,Illinois,18667,1147
644,Illinois,10766,774
645,Illinois,15638,847
646,Illinois,104897,17289
647,Illinois,19465,1871
648,Illinois,922921,589142
649,Illinois,17161,1601
650,Illinois,6395,395
651,Illinois,34008,8485
652,Illinois,21336,4637
653,Illinois,12961,2073
654,Illinois,38469,12614
655,Illinois,34340,7657
656,Illinois,4828,210
657,Illinois,12969,1104
658,Illinois,51054,9414
659,Illinois,8116,561
660,Illinois,17708,1296
661,Illinois,3821,210
662,Illinois,6646,129
663,Illinois,48913,6580
664,Illinois,27114,7271
665,Illinois,56750,7883
666,Illinois,9610,504
667,Illinois,37684,13191
668,Illinois,21773,2799
669,Illinois,21235,1031
670,Illinois,12417,859
671,Illinois,532403,313377
672,Illinois,109862,42676
673,Illinois,128990,12078
674,Illinois,49699,21644
675,Illinois,108669,56170
676,Illinois,696535,482385
677,Illinois,15678,988
678,Illinois,34096,3791
679,Illinois,35648,8135
680,Illinois,28618,4342
681,Illinois,104009,41530
682,Illinois,44926,9011
683,Illinois,262966,171910
684,Illinois,37205,15768
685,Illinois,11438,562
686,Illinois,13359,1995
687,Illinois,13772,2249
688,Illinois,29682,5212
689,Illinois,307774,78702
690,Illinois,171517,40690
691,Illinois,12196,419
692,Illinois,15437,1278
693,Illinois,34637,7227
694,Illinois,28414,4991
695,Illinois,33658,6871
696,Illinois,14501,1238
697,Illinois,50643,7580
699,Illinois,179179,94611
700,Illinois,20916,4386
701,Illinois,16344,276
702,Illinois,15561,2241
703,Illinois,4177,45
704,Illinois,5335,300
705,Illinois,5739,66
706,Illinois,31782,7222
707,Illinois,15513,2494
708,Illinois,141879,78369
709,Illinois,23491,4984
710,Illinois,194672,60279
711,Illinois,6768,171
712,Illinois,4951,105
713,Illinois,21634,2992
714,Illinois,259686,168890
715,Illinois,5342,694
716,Illinois,44498,13443
717,Illinois,131803,76210
719,Illinois,16653,2107
720,Illinois,75758,36361
721,Illinois,11520,420
722,Illinois,16844,3755
723,Illinois,13887,623
724,Illinois,16215,4234
725,Illinois,13537,1139
726,Illinois,55175,20540
727,Illinois,690743,531782
728,Illinois,66597,28325
729,Illinois,282572,185266
730,Illinois,38459,5970
731,Indiana,35777,6184
732,Indiana,379299,298131
733,Indiana,83779,26887
734,Indiana,8748,375
735,Indiana,11758,2751
736,Indiana,67843,14930
737,Indiana,15092,1582
738,Indiana,20257,2212
739,Indiana,37689,13513
740,Indiana,118302,51675
741,Indiana,26225,4300
742,Indiana,32399,7991
743,Indiana,10577,822
744,Indiana,33351,10114
745,Indiana,43475,10092
746,Indiana,49458,8569
747,Indiana,26559,9131
748,Indiana,114135,70779
749,Indiana,42736,11747
750,Indiana,206341,154169
751,Indiana,23102,9900
752,Indiana,78522,36587
753,Indiana,16346,4904
754,Indiana,22758,1818
755,Indiana,19974,5173
756,Indiana,33659,9704
757,Indiana,65769,45652
758,Indiana,31922,9080
759,Indiana,338011,128442
760,Indiana,78168,29905
761,Indiana,40515,10481
762,Indiana,170311,101778
763,Indiana,47972,24428
764,Indiana,82544,63105
765,Indiana,36520,10882
766,Indiana,44231,8423
767,Indiana,33562,9122
768,Indiana,20436,2979
769,Indiana,32308,10879
770,Indiana,27735,5086
771,Indiana,158167,114441
772,Indiana,36594,10343
773,Indiana,79456,21767
774,Indiana,39614,4621
775,Indiana,109888,47753
776,Indiana,485493,595468
777,Indiana,45370,28630
778,Indiana,129569,106243
779,Indiana,964582,1139529
780,Indiana,46258,16383
781,Indiana,10255,438
782,Indiana,35516,11337
783,Indiana,148431,36155
784,Indiana,38338,11444
785,Indiana,70489,29199
786,Indiana,13984,2448
787,Indiana,47744,12531
788,Indiana,5875,217
789,Indiana,19646,4872
791,Indiana,20799,7136
792,Indiana,16937,1167
793,Indiana,19169,2126
794,Indiana,12389,1322
795,Indiana,170389,96245
796,Indiana,25427,1660
797,Indiana,12353,3609
798,Indiana,37576,7784
799,Indiana,24665,10766
800,Indiana,28324,8626
801,Indiana,16581,1519
802,Indiana,23873,5416
803,Indiana,44729,12698
804,Indiana,20277,1676
805,Indiana,271826,205234
806,Indiana,22995,5150
807,Indiana,34594,6249
808,Indiana,20669,3279
809,Indiana,10751,306
810,Indiana,195732,64260
811,Indiana,15148,3762
813,Indiana,7054,315
814,Indiana,181451,113060
815,Indiana,15498,2890
816,Indiana,107038,61705
817,Indiana,30996,11494
818,Indiana,8265,418
819,Indiana,62998,24398
820,Indiana,28036,4216
821,Indiana,65884,41253
822,Indiana,28296,8094
823,Indiana,24102,4449
824,Indiana,33964,3412
825,Iowa,7152,1086
826,Iowa,3602,104
827,Iowa,13687,1873
828,Iowa,12426,2401
829,Iowa,5496,278
830,Iowa,25645,2566
831,Iowa,131228,55460
832,Iowa,26234,1922
833,Iowa,25062,3106
834,Iowa,21175,1689
835,Iowa,19620,1780
836,Iowa,14439,1545
837,Iowa,9668,320
838,Iowa,20165,2636
839,Iowa,12836,2984
840,Iowa,18627,990
841,Iowa,42450,9128
842,Iowa,11235,2220
843,Iowa,11933,629
844,Iowa,9395,761
845,Iowa,16016,1121
846,Iowa,17549,2344
847,Iowa,46429,9593
848,Iowa,16820,1345
849,Iowa,93453,9290
850,Iowa,9000,439
851,Iowa,7870,375
852,Iowa,17011,1592
853,Iowa,38967,8241
854,Iowa,17258,2180
855,Iowa,97311,27554
856,Iowa,9208,1169
857,Iowa,19650,2899
858,Iowa,15642,1979
859,Iowa,10070,998
860,Iowa,6960,384
861,Iowa,8888,331
862,Iowa,12232,1113
863,Iowa,10689,996
864,Iowa,14773,2890
865,Iowa,10630,1065
866,Iowa,16846,2202
867,Iowa,14049,3592
868,Iowa,19954,2571
869,Iowa,9158,497
870,Iowa,9558,797
871,Iowa,6860,1118
872,Iowa,16184,1092
873,Iowa,19439,1957
874,Iowa,37185,5720
875,Iowa,18295,1533
876,Iowa,151140,8993
877,Iowa,20681,2487
878,Iowa,10246,1180
879,Iowa,14813,3477
880,Iowa,33657,5285
881,Iowa,226706,67994
882,Iowa,11035,1858
883,Iowa,8600,523
884,Iowa,11755,984
885,Iowa,16338,864
886,Iowa,22095,3115
887,Iowa,33253,5674
888,Iowa,39369,6681
889,Iowa,15109,880
890,Iowa,10586,1025
891,Iowa,8615,1086
892,Iowa,7707,1118
893,Iowa,9917,1524
894,Iowa,42664,6895
895,Iowa,13753,1683
896,Iowa,5958,248
898,Iowa,15107,1182
899,Iowa,8886,684
900,Iowa,25177,5273
901,Iowa,6619,404
902,Iowa,490161,162436
903,Iowa,93206,27518
904,Iowa,18504,1522
905,Iowa,4894,699
906,Iowa,9721,817
907,Iowa,172943,39284
908,Iowa,11454,1467
909,Iowa,34855,3405
910,Iowa,97117,3581
911,Iowa,16854,3812
912,Iowa,6121,244
914,Iowa,12241,1253
915,Iowa,7044,346
916,Iowa,34969,13735
917,Iowa,51466,7656
918,Iowa,21965,2960
919,Iowa,6441,390
920,Iowa,35904,9890
921,Iowa,10354,1083
922,Iowa,19991,1406
923,Iowa,103107,29179
924,Iowa,7381,120
925,Iowa,12562,1946
926,Kansas,12369,1340
927,Kansas,7858,558
928,Kansas,16073,871
929,Kansas,4427,86
930,Kansas,25779,3417
931,Kansas,14534,1323
932,Kansas,9564,958
933,Kansas,66911,11813
934,Kansas,2648,55
935,Kansas,3250,232
936,Kansas,19939,2951
937,Kansas,2657,131
938,Kansas,1994,31
939,Kansas,8002,897
940,Kansas,8786,939
941,Kansas,8179,930
942,Kansas,1700,168
943,Kansas,34908,7962
944,Kansas,38818,6444
945,Kansas,2827,218
946,Kansas,18466,4007
947,Kansas,7600,627
948,Kansas,122259,8887
949,Kansas,2798,93
950,Kansas,2530,91
951,Kansas,28553,2595
952,Kansas,6102,455
953,Kansas,36467,5082
954,Kansas,33619,5021
955,Kansas,25544,3204
956,Kansas,31670,2670
957,Kansas,2636,196
958,Kansas,2482,174
959,Kansas,7150,673
960,Kansas,5988,252
961,Kansas,1232,12
962,Kansas,5982,341
963,Kansas,2539,21
964,Kansas,5436,359
965,Kansas,34429,6113
966,Kansas,3968,108
967,Kansas,1794,73
968,Kansas,13171,628
969,Kansas,19043,2060
970,Kansas,2879,153
971,Kansas,602401,215945
972,Kansas,3838,222
973,Kansas,7152,420
974,Kansas,2475,33
975,Kansas,19618,3193
976,Kansas,1535,62
977,Kansas,81758,13529
978,Kansas,2962,78
979,Kansas,9703,549
980,Kansas,2794,90
981,Kansas,33195,6067
982,Kansas,11884,1072
983,Kansas,9707,956
984,Kansas,28542,5939
985,Kansas,4033,331
986,Kansas,34237,3368
987,Kansas,5979,286
988,Kansas,31829,8607
989,Kansas,5620,434
990,Kansas,2587,73
991,Kansas,10231,1107
992,Kansas,16007,2331
993,Kansas,2750,158
994,Kansas,5361,547
995,Kansas,15949,1624
996,Kansas,3421,220
997,Kansas,5704,245
999,Kansas,6414,330
1000,Kansas,5234,476
1001,Kansas,24383,1794
1002,Kansas,9164,598
1003,Kansas,2530,56
1004,Kansas,61998,19760
1005,Kansas,4636,224
1006,Kansas,9537,474
1007,Kansas,74232,3201
1008,Kansas,4920,198
1009,Kansas,3036,255
1010,Kansas,6856,821
1011,Kansas,54224,19022
1012,Kansas,4823,642
1013,Kansas,516042,186034
1014,Kansas,21428,1873
1015,Kansas,176875,70218
1016,Kansas,2521,169
1017,Kansas,5917,211
1018,Kansas,3583,45
1019,Kansas,4156,493
1020,Kansas,2006,50
1021,Kansas,5485,352
1022,Kansas,22836,2220
1023,Kansas,7777,353
1024,Kansas,2803,116
1026,Kansas,6931,262
1027,Kansas,1518,36
1028,Kansas,5406,295
1029,Kansas,2119,43
1030,Kansas,8525,1274
1031,Kansas,3138,126
1032,Kansas,165429,61310
1033,Kentucky,19202,5021
1034,Kentucky,21315,5513
1035,Kentucky,22747,2762
1036,Kentucky,7888,625
1037,Kentucky,44249,17076
1038,Kentucky,12500,1223
1039,Kentucky,26032,10858
1040,Kentucky,133581,31734
1041,Kentucky,19788,2308
1042,Kentucky,46718,14847
1043,Kentucky,30060,8921
1044,Kentucky,8303,384
1045,Kentucky,12630,1989
1046,Kentucky,20477,2917
1047,Kentucky,81676,20129
1048,Kentucky,12879,1325
1049,Kentucky,12747,1989
1050,Kentucky,39001,4238
1051,Kentucky,93584,13161
1052,Kentucky,4760,287
1053,Kentucky,10631,1368
1054,Kentucky,26797,5390
1055,Kentucky,16159,3062
1056,Kentucky,70461,16566
1057,Kentucky,36263,2455
1058,Kentucky,19901,4721
1059,Kentucky,10218,1369
1060,Kentucky,8806,1621
1061,Kentucky,6614,569
1062,Kentucky,101511,48172
1063,Kentucky,12150,1421
1064,Kentucky,7517,242
1065,Kentucky,14106,1211
1066,Kentucky,323152,104894
1067,Kentucky,14581,2289
1068,Kentucky,35589,15862
1069,Kentucky,50991,12523
1070,Kentucky,5969,529
1071,Kentucky,8869,1482
1072,Kentucky,17666,3653
1073,Kentucky,25069,2117
1074,Kentucky,37266,12626
1075,Kentucky,26427,8245
1076,Kentucky,10941,1041
1077,Kentucky,35098,8459
1078,Kentucky,8722,439
1079,Kentucky,110958,53440
1080,Kentucky,26010,16186
1081,Kentucky,18886,3055
1082,Kentucky,19035,4386
1083,Kentucky,45210,11129
1084,Kentucky,16126,1601
1085,Kentucky,4380,492
1086,Kentucky,44686,26423
1087,Kentucky,13329,2772
1088,Kentucky,766757,577407
1089,Kentucky,54115,10252
1090,Kentucky,22188,6258
1091,Kentucky,166998,47819
1092,Kentucky,14806,2393
1093,Kentucky,31145,9254
1094,Kentucky,14398,2812
1095,Kentucky,60813,21488
1096,Kentucky,15317,2776
1097,Kentucky,7403,1458
1098,Kentucky,9877,1346
1099,Kentucky,21553,5721
1100,Kentucky,13275,4053
1101,Kentucky,24549,7575
1102,Kentucky,9194,1806
1103,Kentucky,27102,7363
1104,Kentucky,8210,851
1105,Kentucky,92987,24076
1106,Kentucky,12161,1606
1107,Kentucky,19273,3253
1108,Kentucky,31100,6522
1109,Kentucky,11195,1067
1110,Kentucky,17070,5608
1111,Kentucky,65418,24697
1112,Kentucky,17231,3427
1113,Kentucky,9207,1557
1114,Kentucky,28572,1869
1115,Kentucky,6489,591
1116,Kentucky,21933,5629
1117,Kentucky,10071,2378
1118,Kentucky,10650,3483
1119,Kentucky,28157,5399
1120,Kentucky,13309,446
1121,Kentucky,30622,7839
1122,Kentucky,46233,10211
1123,Kentucky,7269,553
