,Province_State,Population,Total Deaths
0,Alabama,55869,16574
1,Alabama,223234,96116
2,Alabama,24686,4163
3,Alabama,22394,4300
4,Alabama,57826,21797
5,Alabama,10101,1173
6,Alabama,19448,6891
7,Alabama,113605,91853
8,Alabama,33254,9925
9,Alabama,26196,2977
10,Alabama,44428,15163
11,Alabama,12589,665
12,Alabama,23622,4583
13,Alabama,13235,3102
14,Alabama,14910,2017
15,Alabama,52342,17969
16,Alabama,55241,23013
17,Alabama,12067,2414
18,Alabama,10663,1846
19,Alabama,37049,20267
20,Alabama,13772,5058
21,Alabama,83768,43137
22,Alabama,49172,18652
23,Alabama,37196,20562
24,Alabama,71513,32317
25,Alabama,81209,35721
26,Alabama,36633,10630
27,Alabama,102268,92442
28,Alabama,16302,4031
29,Alabama,31362,8278
30,Alabama,26271,9298
31,Alabama,8111,1371
32,Alabama,14651,4764
33,Alabama,17205,2421
34,Alabama,105882,64009
35,Alabama,51626,19724
36,Alabama,658573,488575
37,Alabama,13805,2397
38,Alabama,92729,47197
39,Alabama,32924,11073
40,Alabama,164542,37699
41,Alabama,98915,31478
42,Alabama,9726,2586
43,Alabama,18068,3381
44,Alabama,372909,174983
45,Alabama,18863,4920
46,Alabama,29709,9501
47,Alabama,96774,43786
48,Alabama,413210,412455
49,Alabama,20733,3045
50,Alabama,226486,179632
51,Alabama,119679,67250
53,Alabama,8923,934
54,Alabama,19930,5337
55,Alabama,33114,7532
56,Alabama,22722,2480
57,Alabama,57961,3792
58,Alabama,217702,60562
59,Alabama,89512,46008
60,Alabama,12427,1495
61,Alabama,79978,39426
62,Alabama,40367,21626
63,Alabama,209355,129453
65,Alabama,63521,56471
66,Alabama,16326,1632
67,Alabama,10373,1101
68,Alabama,23629,7156
69,Alaska,3337,15
70,Alaska,5634,6
71,Alaska,288000,41960
72,Alaska,18386,740
73,Alaska,836,0
74,Alaska,1592,1
75,Alaska,6751,83
76,Alaska,2699,61
77,Alaska,2097,3
78,Alaska,4916,91
79,Alaska,96849,6250
80,Alaska,2530,1
81,Alaska,2148,0
82,Alaska,31974,343
83,Alaska,58708,3643
84,Alaska,13901,294
85,Alaska,12998,84
86,Alaska,8314,100
87,Alaska,108317,8709
88,Alaska,10004,18
89,Alaska,9832,141
90,Alaska,7621,209
92,Alaska,3266,36
93,Alaska,6203,39
